S/N,LR,LDA,KNN,CART,NB,SVM,RF,MVH,MVS
1,0.5033372360586802,0.5004329033298542,0.529207227495037,0.5213994495618799,0.5314043944857579,0.5031936739009089,0.5151250096671273,0.5212011972773046,0.5242694969025754
2,0.5056930531695794,0.5044596438629168,0.5281678552260219,0.5256657508795505,0.5509170461711197,0.5057468878289217,0.5198300669079039,0.5331019362839096,0.5325202253089727
3,0.5048552009788572,0.5036798254809585,0.5355897736407801,0.5299477564641433,0.5561976858363357,0.5054796922258038,0.5268290210529392,0.5386767900662383,0.5363218307224443
4,0.5134005873336038,0.5135764847816363,0.5397245215401533,0.5355858159539484,0.5568816757650921,0.5146219281100559,0.5302282854015145,0.5490846049730669,0.5443857751674674
5,0.5138641035205774,0.5133880933693062,0.5394680054824426,0.5342332322111003,0.5563988977623707,0.5152941806572966,0.5334422214631864,0.5480348751087646,0.5440946678690124
6,0.512074621966744,0.5113588325647119,0.540980356972314,0.535973069056438,0.5577949125763997,0.5134079093991889,0.5316103137824754,0.5482164204817583,0.5435159855248467
7,0.5178233449113495,0.5179450604538388,0.5421271616967112,0.5344712407362016,0.5559383044225574,0.5194717801176346,0.5321479750820726,0.5505167977820029,0.5443609689107257
8,0.5197264127671436,0.5169500161170529,0.5399773995615085,0.5317055765233237,0.5523295218348526,0.5216703705878144,0.5293814691995955,0.5522560275214001,0.5441241653989306
9,0.5231273696534923,0.5219467969608,0.5368996415016425,0.532153172276866,0.5547568555656104,0.5247026485939507,0.5277019474095859,0.5537145880451596,0.544707037693943
10,0.5215067233418459,0.5185132265273009,0.5347416719380249,0.5306597859487032,0.5561691035646157,0.5232678686858366,0.5269748966522868,0.5499149764227879,0.540603426970456
11,0.5264203099749553,0.5245211630116935,0.5356153732746032,0.5314815613302215,0.5562242743169559,0.5287215289447991,0.5273271169824388,0.5536290596961522,0.5427909469557972
12,0.5303657305070069,0.52712741362268,0.5353757067063842,0.5304249693290769,0.5566919551586953,0.5326301804735091,0.5260871398933291,0.5541623746691301,0.5435370065680354
13,0.5359554652838081,0.5329953362995518,0.5338508612522153,0.5275193350019088,0.5539489355374683,0.5380734900361153,0.5230831888984608,0.5543887492966827,0.5434549920746229
14,0.5390106914345654,0.5359494954087268,0.534092852760229,0.5295461489855915,0.5546279122429283,0.5429017391906454,0.5222007420168386,0.5566227726772064,0.5441545482916786
15,0.5337814189109866,0.5304617728270742,0.5324010025802692,0.5289651072069753,0.5562062106155832,0.5370979144830113,0.5199747351943016,0.5513982374196783,0.5407040685779512
16,0.5394409524737923,0.5351961735216402,0.5353361873291609,0.5305705528736727,0.5547960621912886,0.5420751483551902,0.5218634095800904,0.5552294990384845,0.5450355808924168
17,0.5429625233732913,0.5378422470628204,0.5335760308319671,0.5308822649798044,0.5539771498661941,0.5456671251466338,0.5216415376549296,0.5556942041412583,0.5451117910850954
18,0.5464508391250436,0.5392661381579491,0.5369766841653456,0.5318785672217018,0.5540669900471651,0.549226610272044,0.5213592632879795,0.5571890392449608,0.5466277783116784
19,0.5496674565712859,0.5445186186858884,0.5334307508403415,0.5318358812350843,0.5554838971243347,0.5521902002200897,0.5191594494073439,0.5567756874859622,0.544199524723435
20,0.5464313611427868,0.5408253402892037,0.5359826723685872,0.5296619912380355,0.5532873280409792,0.5497539645685154,0.5198461391178203,0.5557310858271417,0.543568196635727
21,0.550660852063529,0.5443952106056256,0.5366530599047759,0.5312151292088165,0.5553016572589392,0.5540259506054468,0.5190068381515583,0.5576455714139752,0.5460283692787192
22,0.5537898070913976,0.5477432871847732,0.5340603610941953,0.5311445324464436,0.5549424092175975,0.5565995968678576,0.5195419491462768,0.5591088692037853,0.5467583957749842
23,0.5501241359174982,0.5451055682492055,0.5367885273166744,0.5311895870660862,0.5558990793997295,0.554151067320989,0.5199046328553271,0.5581044722160151,0.5462534860011603
24,0.5546806867665186,0.5488009025273706,0.5393377766589245,0.5314773966754557,0.5546768969536781,0.5574050263818576,0.5192894942593649,0.5593972514244396,0.5460138976208277
25,0.5572003074991589,0.5501731367257539,0.5407718275799812,0.5350908728359807,0.5540848191848788,0.5602403674996229,0.5212151285189235,0.5623376678627803,0.5483355489250695
26,0.5565580561038097,0.5509883788194812,0.5380372844454836,0.530606367524873,0.5541125390902062,0.5599611815541806,0.5189685421847908,0.5585306122937067,0.5454193385364612
27,0.5634577921208089,0.5549478892685678,0.5386776616312058,0.5338390617803193,0.5554009282787808,0.5654132366618307,0.5186439635720798,0.5603360142809715,0.5467142955074827
28,0.5604012643717096,0.5522065092933087,0.5399985424858141,0.5345883316951822,0.5551577133603114,0.562709198301198,0.5230482504115155,0.5593408572616436,0.5472334078808836
29,0.5660379279777805,0.5576062567050425,0.539852117271619,0.5350106543643087,0.5551794380944766,0.569815267550783,0.5208207166255525,0.5622958580404179,0.549446470008955
30,0.5675946142988121,0.558822747532902,0.5431612125901721,0.5371614053463083,0.5550326311394249,0.5710208005763459,0.5207337395010053,0.5677660895319827,0.5524548110236733
31,0.5645667608071814,0.5556330428170433,0.5435689509188653,0.5362888492322996,0.5547699819319293,0.5677187674636381,0.5212005441784899,0.5611812322305093,0.5490841680407613
32,0.5679172060193542,0.55884374328001,0.546716576754047,0.5368324367137475,0.5550326311394249,0.5704656044934302,0.5205738751689462,0.5624226580951587,0.5493473898595417
33,0.5686809820867643,0.5594803375518228,0.545310627479174,0.5380834842876958,0.5552286918635408,0.5713188390009547,0.5234867625723879,0.5647394594508078,0.5511225124380255
34,0.5728113146702069,0.5611947104423165,0.5436651680118547,0.5369948605492603,0.5550049112340976,0.5744724945019544,0.5223821402126347,0.5647887132198721,0.5498893721896773
35,0.5748722254712355,0.5627663283499824,0.5448977356489182,0.5399750999177946,0.5552298370861104,0.5785966065491508,0.5218628369688056,0.5654963641828008,0.5528524677143245
36,0.5750803110323315,0.5634109391797819,0.5440038365416008,0.5402910111733479,0.5551409512572808,0.5770168157077256,0.5204863254331143,0.563592836398264,0.550410584137789
37,0.5757294682577534,0.5638361249053323,0.5474385085044389,0.538886588861901,0.5549356505647224,0.5783909586103915,0.5226042030082237,0.5633422902156346,0.5515082569742388
38,0.577014916202018,0.5643740207685883,0.545030530874821,0.5377504291882554,0.5545258126613186,0.578554067739731,0.5222511410084725,0.5629499778969744,0.549748100477045
39,0.5744434040089735,0.5645859237382493,0.5481133642483637,0.5405207869739533,0.5554158943600709,0.5774785358729587,0.5247118862627494,0.5666527216271856,0.5522971589488669
40,0.579024429966041,0.5651426812792467,0.5465340333356813,0.5398340190755906,0.5552779456326052,0.5799259546919137,0.5235914561521069,0.5633672597470801,0.5498921570582148
41,0.5813132078633925,0.5657129561259945,0.5488904667510958,0.5405850068243077,0.5547226368671476,0.5835682959803354,0.5234633200043683,0.5655944117921866,0.5523710005085203
42,0.5815212934244884,0.5662525698231048,0.5483128606401881,0.5417966132089189,0.5549854769450714,0.5831121800468332,0.5243014757480609,0.5672577785851061,0.5524577085747528
43,0.5832556387206373,0.5659205817583476,0.5512698483111312,0.5430798488959308,0.5545546777892154,0.5852213120768986,0.5239846101403663,0.5645084602397465,0.5531325643186775
44,0.5850615351313007,0.5695751387541776,0.5520302668987191,0.5422492152868265,0.555190968508058,0.5855100760384093,0.5254317184384306,0.5686242866706418,0.5548244144986373
45,0.5819566734706225,0.5678525147420385,0.55394723380112,0.5430719450204861,0.5549258379849952,0.5830235977709737,0.5261172629263375,0.569250573939329,0.5558628301158673
46,0.584233877261162,0.5687643556696118,0.5530635290143863,0.5453054739776112,0.5553473971724087,0.5849319318108726,0.5254411492773013,0.5685273060959393,0.5547857367910132
47,0.5847770048138672,0.5700411362567186,0.5537785112414748,0.5422532235658197,0.5548983089500961,0.5860311316107485,0.5255796706160518,0.5677006807658282,0.5530033956309115
48,0.5910063188000221,0.5723792806056764,0.5569291910035087,0.5487695836796309,0.556000449994282,0.5910197832139669,0.5288891476754615,0.5706401428520278,0.5578326773254693
49,0.5919726451861087,0.5722286907367155,0.5574523898437891,0.5464510644901275,0.555514020157343,0.5918596912861693,0.5269659947314703,0.5697671268092763,0.5551456701261817
50,0.5890510904255093,0.5713499485811164,0.5562536499657572,0.5462644346048823,0.5553577823634207,0.5894166624870643,0.5278133904436052,0.5697072969787718,0.555410418908388
51,0.5945606849185249,0.5749925152346221,0.5573478871344983,0.5474017395010974,0.555222124081094,0.594811369079777,0.5275797972344347,0.57162674519674,0.5570755035351618
52,0.5917843319616648,0.5708035325379004,0.5567248446630915,0.5488939024188044,0.5546520401047745,0.591369478535321,0.5290655832401231,0.5690690193677603,0.5566287057579882
53,0.592780443333134,0.5740800580025336,0.5583677101323015,0.5488919937145218,0.5556698762104089,0.5932849184742959,0.5293453762915058,0.5726403821529527,0.5579704351825068
54,0.5911090944768835,0.5728325587788359,0.5597476573357013,0.5485981889339903,0.5545269578838881,0.5930789669825665,0.5274326085385265,0.5697664760101053,0.5567247319805495
55,0.5968041736325749,0.5751904409697901,0.5614504653179578,0.5498605760510918,0.555612145954615,0.5972897870959955,0.5314728755759142,0.5718774040619113,0.5587904145422845
56,0.5958971389603638,0.5737831556019195,0.5593438146034596,0.5485295008758998,0.5551802015761896,0.5958542092115127,0.5324233597164558,0.5699290907160462,0.5566469948244448
57,0.595176274244655,0.5715988022259724,0.5623796064651907,0.5505274497316857,0.5546749100615093,0.5938953542988631,0.5297780841516443,0.5695770957509781,0.5558822988995492
58,0.5959296651210532,0.5745276100628454,0.5623030145316557,0.5496756639997009,0.5539401118045381,0.5945413794095467,0.5314861238233499,0.5718944697179121,0.5581298395858232
59,0.6023357964127259,0.5788997087892176,0.5649981164768161,0.5517092366362587,0.555094369674212,0.6024136715474535,0.5310277956325948,0.5749420610515392,0.560095105905147
60,0.5991572058749366,0.5766157808404586,0.560782064673938,0.5492539139418591,0.5545465830433425,0.5979659352396873,0.5286813656673358,0.5701916617356556,0.5561347537864612
61,0.5982741081941434,0.5737772294200687,0.5632941632719901,0.5503100460142609,0.5555043984480441,0.5969346945108447,0.5322652132182509,0.5708200485790536,0.5551813284016094
62,0.6011531678385537,0.5766008492538243,0.567778859453526,0.5507302691086767,0.5548305752441469,0.600197780857614,0.5324595561085126,0.5749730257541469,0.5592756209687677
63,0.5995532574142756,0.5749613067697809,0.5654956949864801,0.5547537740430337,0.5552596565661486,0.5984591582241572,0.5312392823667437,0.5709693368496725,0.5594028027643649
64,0.6049947364604854,0.5783591315413912,0.5621035181398311,0.5506315707001198,0.5546258471628732,0.6038276718749688,0.5311124823120029,0.5707782387566912,0.5555081974594595
65,0.6035341108566709,0.5746707812811853,0.564001241623634,0.5521727965164629,0.5555138292869147,0.6011731563417149,0.5324812808426778,0.5715492334057192,0.5577653598550323
66,0.60556863784537,0.5743609778793362,0.5645336804323569,0.5533368669658641,0.5549083124002515,0.602672954076552,0.5330943198639292,0.5690401887345192,0.5551376098749644
67,0.6025983237391048,0.5732878146455892,0.56938029684123,0.5527205831473324,0.555026063356978,0.6013716201935118,0.533504157767333,0.5722699417456554,0.5577395486539874
68,0.6058935200110511,0.5763598028993769,0.5664498838530447,0.5545490459617601,0.554663570518356,0.6032329564148297,0.5340306014048937,0.574406490128078,0.5593406043008351
69,0.6050099279068595,0.5775480793985107,0.5734909697705625,0.5570705753986829,0.5550653136758869,0.602561805396928,0.5364817249498718,0.5757733799544703,0.5623000732873455
70,0.6083726670143268,0.5769869663323192,0.5687141866423493,0.5582423588531006,0.5550547376144467,0.6038564933096351,0.5348146534309293,0.5750948976724087,0.5605833662584822
71,0.6076577974697802,0.5795049819136471,0.5694608970537586,0.5564723897761796,0.5550072016792367,0.6052895116906643,0.5348899092714666,0.5744726186827149,0.5605962327650614
72,0.6069577813239817,0.5784798145438529,0.5716959529743098,0.5551260794613829,0.5546545214203419,0.6041971832262056,0.5362958585463395,0.5749509537737809,0.5613568422230776
73,0.6085258853760528,0.576688424285737,0.570544176420203,0.5585234879974811,0.5550249181344085,0.6047587907157956,0.5356811016912338,0.57634670872807,0.5618561385665957
74,0.6061928945286578,0.5765890750780092,0.5694239371799887,0.5548216986194112,0.5551347652156904,0.6034849858676545,0.5340973807587016,0.5744560474501126,0.5583321208461851
75,0.606031234174858,0.574391169901656,0.574717733106892,0.5582092945757821,0.5543709109603939,0.602787260166995,0.5352025757297396,0.5751083367902727,0.5606273883380974
76,0.6086172525204497,0.577414286127236,0.5729752930648702,0.5585650287615289,0.5553087194647847,0.6051198692735336,0.5369896886505476,0.5778344034380409,0.5634329099758245
77,0.6083392899854633,0.5763586484782326,0.5753275273308631,0.5603598546873534,0.5559431014793447,0.604731105305124,0.5378116549024943,0.5763726326116568,0.5622907551310168
78,0.6067072696360081,0.5727612836215672,0.571931645758191,0.559267717093323,0.5545956459419786,0.6026524780489234,0.5377706867497312,0.5719013755479849,0.5605819519775982
79,0.6128055062301143,0.5764342078717403,0.5721359920986082,0.5567775340998644,0.5549281284301342,0.6084359486100459,0.5377418216218344,0.5741589196844143,0.559585840606129
80,0.6063960519532748,0.5719190414109951,0.5758172019650823,0.5583104742999062,0.5550354941958487,0.600709240016735,0.5372817755972249,0.5718355505463183,0.5615124292178288
81,0.6167273715116044,0.5796887395438938,0.5755341641164193,0.5597171870564921,0.5545858333622513,0.6107871503360113,0.5386494289053303,0.5744531062058025,0.5618543425448552
82,0.6090164706691827,0.5737524668565575,0.5739729313997652,0.5593752737294658,0.5550649319350304,0.6033711994966908,0.5372321400873041,0.5742887736660072,0.5601364902934224
83,0.6160242232510675,0.5764923543630462,0.5769535525091563,0.5596583115781288,0.5549669970081865,0.6103200766002123,0.5395385562519414,0.5751413228797049,0.5611054543708488
84,0.6139313152074036,0.5754330901759059,0.5751954955866733,0.5619079518391136,0.5547620780564846,0.6098772871020319,0.5388641604367593,0.5735798992926227,0.5608239434856118
85,0.6116796880542501,0.5755115908137236,0.5802168297263537,0.560813332929516,0.5549775730696267,0.6055620769618543,0.5394304270045137,0.5743447079000603,0.562836936610574
86,0.6140859478500137,0.5762432569559566,0.5763168800494571,0.5622904515780466,0.5551636303435873,0.6083421691393931,0.5412398372707719,0.575135518578971,0.561194721940535
87,0.6152306621982749,0.5766871916767063,0.5761052024448801,0.5624647875679973,0.5554170395826404,0.6101087807364917,0.5396947940458637,0.576774679322158,0.5608339469357673
88,0.6152415418126854,0.5741446227994451,0.5783308275265605,0.5633069515906831,0.5549768095879137,0.6076600603191947,0.5400859611419543,0.5747853196356435,0.5618519739118298
89,0.6115366203198772,0.5724068763302432,0.5805306414071961,0.5627080024864668,0.5548992633022374,0.6051863703704521,0.5406584137512991,0.5732567694554515,0.5627343426055658
90,0.61609771756452,0.5784543321918592,0.5792930329511118,0.5648344692308476,0.5550151055546813,0.6096140997779074,0.5409650850384099,0.5760422841928677,0.5641335332275635
91,0.6167280131122006,0.5761540238809262,0.5829404150585545,0.5646521166829102,0.5554557172902646,0.6095882885768625,0.5437090590117782,0.5771453795891949,0.5659389352148282
92,0.61729809708852,0.574106933938618,0.5821807599526798,0.5654706472671482,0.5554272339032241,0.609218846214937,0.5446842091307952,0.5753378780272194,0.5644156167240852
93,0.6120467962778059,0.5711093598557682,0.5817230043732095,0.5640056316434838,0.5553294898468085,0.6047791264651576,0.5423795108000122,0.5739040179765909,0.5616320106909516
94,0.6159806519016202,0.5702113742815712,0.5808881716146836,0.5656667079912642,0.5548502004036013,0.6086946930225153,0.5421834500758963,0.5727201314973069,0.5613963179070703
95,0.6152000355432933,0.5705925379275063,0.5827072035902405,0.5634614715507512,0.5549864312972127,0.6074423093555692,0.5439114966479128,0.5733243122909725,0.5612110241148228
96,0.6152024386709742,0.5723258506836277,0.5873981548164762,0.5639821108875781,0.5549970073586529,0.608171797735205,0.5453495558479629,0.5749664487731252,0.564449635353545
97,0.6144784073458716,0.5703603934938756,0.5845264264362258,0.5646759409917862,0.5550553102257314,0.606478993203104,0.5410403408789473,0.572628113553739,0.5609302767112988
98,0.6220216526633312,0.575931422968708,0.5874309155408244,0.5661854386238085,0.5551824920213286,0.6137571079975008,0.5453083968247715,0.5794233123667917,0.5646311117372275
99,0.6165033126252717,0.5732646135401596,0.5857151628641023,0.566179825193503,0.5553874109730306,0.6092685162195136,0.5464328352144074,0.5762406353621228,0.5625511483880291
100,0.6208086319978359,0.5734886977225732,0.587413580826509,0.5687184984743129,0.5548111409551206,0.611399832912487,0.5456420245354967,0.5797930582816874,0.565799953947335
